[03:44:23] umvc3_shaderdump loaded
[03:44:23] IAT hook installed: Direct3DCreate9 was 00007FF87F8FC0C0
[03:44:23] Direct3DCreate9(32) -> 000000001AF921E0
[03:44:23]   hooked slot 16  CreateDevice         00007FF803767E80 in gameoverlayrenderer64.dll
[03:44:23] CreateDevice ok, device 000000001B1FAF20 - hooking its vtable
[03:44:23]   hooked slot 91  CreateVertexShader   00007FF87F8F7800 in d3d9.dll
[03:44:23]   hooked slot 106 CreatePixelShader    00007FF87F8C5C80 in d3d9.dll
[03:44:23]   hooked slot 92  SetVertexShader      00007FF87F90C2A0 in d3d9.dll
[03:44:23]   hooked slot 107 SetPixelShader       00007FF87F90B6B0 in d3d9.dll
[03:44:23] device hooked; shaders will be written to C:\Program Files (x86)\Steam\steamapps\common\ULTIMATE MARVEL VS. CAPCOM 3\shaderdump
[03:44:23] vertex shader #76     1284 bytes  crc E4F3D837  version 3_0  -> vs_0076_E4F3D837.bin
[03:44:23] vertex shader #77     1412 bytes  crc 1813930A  version 3_0  -> vs_0077_1813930A.bin
[03:44:23] vertex shader #78     1244 bytes  crc F8126401  version 3_0  -> vs_0078_F8126401.bin
[03:44:23] vertex shader #79      936 bytes  crc 53DEF5FB  version 3_0  -> vs_0079_53DEF5FB.bin
[03:44:23] vertex shader #80     2292 bytes  crc 4CF6CF11  version 3_0  -> vs_0080_4CF6CF11.bin
[03:44:23] vertex shader #81     1128 bytes  crc A6062830  version 3_0  -> vs_0081_A6062830.bin
[03:44:23] vertex shader #82     1412 bytes  crc 0E9D2595  version 3_0  -> vs_0082_0E9D2595.bin
[03:44:23] vertex shader #83     1012 bytes  crc A5ABF746  version 3_0  -> vs_0083_A5ABF746.bin
[03:44:23] vertex shader #84     2160 bytes  crc 9087FF3F  version 3_0  -> vs_0084_9087FF3F.bin
[03:44:23] vertex shader #85     1268 bytes  crc 062DAB82  version 3_0  -> vs_0085_062DAB82.bin
[03:44:23] vertex shader #86     1036 bytes  crc F0F61278  version 3_0  -> vs_0086_F0F61278.bin
[03:44:23] vertex shader #87     1128 bytes  crc BF1A39DE  version 3_0  -> vs_0087_BF1A39DE.bin
[03:44:23] vertex shader #88      944 bytes  crc 50DD007D  version 3_0  -> vs_0088_50DD007D.bin
[03:44:23] vertex shader #89     1892 bytes  crc 08C8A811  version 3_0  -> vs_0089_08C8A811.bin
[03:44:23] vertex shader #90     1144 bytes  crc CD628CAD  version 3_0  -> vs_0090_CD628CAD.bin
[03:44:23] vertex shader #91     1348 bytes  crc 12C73B06  version 3_0  -> vs_0091_12C73B06.bin
[03:44:23] vertex shader #92     1104 bytes  crc 6DF2FB2A  version 3_0  -> vs_0092_6DF2FB2A.bin
[03:44:23] vertex shader #93     1372 bytes  crc A40F17ED  version 3_0  -> vs_0093_A40F17ED.bin
[03:44:23] vertex shader #94     1296 bytes  crc AD20EF8E  version 3_0  -> vs_0094_AD20EF8E.bin
[03:44:23] vertex shader #95     1496 bytes  crc A561911F  version 3_0  -> vs_0095_A561911F.bin
[03:44:23] vertex shader #96     2092 bytes  crc 8C44C289  version 3_0  -> vs_0096_8C44C289.bin
[03:44:23] vertex shader #97     1904 bytes  crc F842BB20  version 3_0  -> vs_0097_F842BB20.bin
[03:44:23] vertex shader #98     1368 bytes  crc 9847B722  version 3_0  -> vs_0098_9847B722.bin
[03:44:23] vertex shader #99     1140 bytes  crc 508CF40C  version 3_0  -> vs_0099_508CF40C.bin
[03:44:23] vertex shader #100    1308 bytes  crc 395B4E20  version 3_0  -> vs_0100_395B4E20.bin
[03:44:23] vertex shader #101    1140 bytes  crc 34EE1E1D  version 3_0  -> vs_0101_34EE1E1D.bin
[03:44:23] vertex shader #102    1592 bytes  crc 6A25962F  version 3_0  -> vs_0102_6A25962F.bin
[03:44:23] vertex shader #103    1644 bytes  crc EDFBD6B7  version 3_0  -> vs_0103_EDFBD6B7.bin
[03:44:23] vertex shader #104    1152 bytes  crc 0ABAFBC5  version 3_0  -> vs_0104_0ABAFBC5.bin
[03:44:23] vertex shader #105    1284 bytes  crc D2214ED5  version 3_0  -> vs_0105_D2214ED5.bin
[03:44:23] vertex shader #106     820 bytes  crc C6E01C32  version 3_0  -> vs_0106_C6E01C32.bin
[03:44:23] vertex shader #107     924 bytes  crc D3A592AB  version 3_0  -> vs_0107_D3A592AB.bin
[03:44:23] vertex shader #108    1648 bytes  crc EA56FF70  version 3_0  -> vs_0108_EA56FF70.bin
[03:44:23] vertex shader #109     936 bytes  crc D29B1AB0  version 3_0  -> vs_0109_D29B1AB0.bin
[03:44:23] vertex shader #110    1388 bytes  crc 462F8A19  version 3_0  -> vs_0110_462F8A19.bin
[03:44:23] vertex shader #111    1232 bytes  crc 752D5548  version 3_0  -> vs_0111_752D5548.bin
[03:44:23] vertex shader #112    1268 bytes  crc B00D0471  version 3_0  -> vs_0112_B00D0471.bin
[03:44:23] vertex shader #113     836 bytes  crc 8011F27D  version 3_0  -> vs_0113_8011F27D.bin
[03:44:23] vertex shader #114    1308 bytes  crc 8AF3768A  version 3_0  -> vs_0114_8AF3768A.bin
[03:44:23] vertex shader #115    1848 bytes  crc 076F6758  version 3_0  -> vs_0115_076F6758.bin
[03:44:23] vertex shader #116    1284 bytes  crc 3CE6F2A1  version 3_0  -> vs_0116_3CE6F2A1.bin
[03:44:23] vertex shader #117    1240 bytes  crc B31CBB2A  version 3_0  -> vs_0117_B31CBB2A.bin
[03:44:23] vertex shader #118    1528 bytes  crc A33F0C50  version 3_0  -> vs_0118_A33F0C50.bin
[03:44:23] vertex shader #119     840 bytes  crc CB925A27  version 3_0  -> vs_0119_CB925A27.bin
[03:44:23] vertex shader #120    2768 bytes  crc 4C35C408  version 3_0  -> vs_0120_4C35C408.bin
[03:44:23] vertex shader #121    1096 bytes  crc F2F54738  version 3_0  -> vs_0121_F2F54738.bin
[03:44:23] vertex shader #122    1344 bytes  crc 529399FC  version 3_0  -> vs_0122_529399FC.bin
[03:44:23] vertex shader #123    1272 bytes  crc 756F45F9  version 3_0  -> vs_0123_756F45F9.bin
[03:44:23] vertex shader #124     700 bytes  crc 28CE000F  version 3_0  -> vs_0124_28CE000F.bin
[03:44:23] vertex shader #125    1152 bytes  crc AF27CB93  version 3_0  -> vs_0125_AF27CB93.bin
